2022-03-07 17:03:34,385 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-07 17:03:34,722 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동 실행...
2022-03-07 17:03:34,742 - movie_logger - INFO - 1-클라우스 영화 제목 클릭... :
2022-03-07 17:03:35,577 - movie_logger - INFO - 영화 평점 클릭...
2022-03-07 17:03:35,596 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-07 17:03:35,613 - movie_logger - INFO - iframe으로 전환
2022-03-07 17:03:39,066 - movie_logger - INFO - 79,클라우스
2022-03-07 17:03:39,097 - movie_logger - INFO - 80,클라우스
2022-03-07 17:03:39,236 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:39,274 - movie_logger - INFO - 81,클라우스
2022-03-07 17:03:39,306 - movie_logger - INFO - 82,클라우스
2022-03-07 17:03:39,338 - movie_logger - INFO - 83,클라우스
2022-03-07 17:03:39,368 - movie_logger - INFO - 84,클라우스
2022-03-07 17:03:39,400 - movie_logger - INFO - 85,클라우스
2022-03-07 17:03:39,431 - movie_logger - INFO - 86,클라우스
2022-03-07 17:03:39,462 - movie_logger - INFO - 87,클라우스
2022-03-07 17:03:39,494 - movie_logger - INFO - 88,클라우스
2022-03-07 17:03:39,525 - movie_logger - INFO - 89,클라우스
2022-03-07 17:03:39,555 - movie_logger - INFO - 90,클라우스
2022-03-07 17:03:39,680 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:39,715 - movie_logger - INFO - 91,클라우스
2022-03-07 17:03:39,745 - movie_logger - INFO - 92,클라우스
2022-03-07 17:03:39,776 - movie_logger - INFO - 93,클라우스
2022-03-07 17:03:39,808 - movie_logger - INFO - 94,클라우스
2022-03-07 17:03:39,838 - movie_logger - INFO - 95,클라우스
2022-03-07 17:03:39,868 - movie_logger - INFO - 96,클라우스
2022-03-07 17:03:39,899 - movie_logger - INFO - 97,클라우스
2022-03-07 17:03:39,930 - movie_logger - INFO - 98,클라우스
2022-03-07 17:03:39,960 - movie_logger - INFO - 99,클라우스
2022-03-07 17:03:39,992 - movie_logger - INFO - 100,클라우스
2022-03-07 17:03:40,128 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:40,164 - movie_logger - INFO - 101,클라우스
2022-03-07 17:03:40,196 - movie_logger - INFO - 102,클라우스
2022-03-07 17:03:40,230 - movie_logger - INFO - 103,클라우스
2022-03-07 17:03:40,262 - movie_logger - INFO - 104,클라우스
2022-03-07 17:03:40,297 - movie_logger - INFO - 105,클라우스
2022-03-07 17:03:40,329 - movie_logger - INFO - 106,클라우스
2022-03-07 17:03:40,362 - movie_logger - INFO - 107,클라우스
2022-03-07 17:03:40,393 - movie_logger - INFO - 108,클라우스
2022-03-07 17:03:40,425 - movie_logger - INFO - 109,클라우스
2022-03-07 17:03:40,457 - movie_logger - INFO - 110,클라우스
2022-03-07 17:03:40,588 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:40,627 - movie_logger - INFO - 111,클라우스
2022-03-07 17:03:40,661 - movie_logger - INFO - 112,클라우스
2022-03-07 17:03:40,694 - movie_logger - INFO - 113,클라우스
2022-03-07 17:03:40,725 - movie_logger - INFO - 114,클라우스
2022-03-07 17:03:40,758 - movie_logger - INFO - 115,클라우스
2022-03-07 17:03:40,791 - movie_logger - INFO - 116,클라우스
2022-03-07 17:03:40,824 - movie_logger - INFO - 117,클라우스
2022-03-07 17:03:40,857 - movie_logger - INFO - 118,클라우스
2022-03-07 17:03:40,890 - movie_logger - INFO - 119,클라우스
2022-03-07 17:03:40,922 - movie_logger - INFO - 120,클라우스
2022-03-07 17:03:41,055 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:41,095 - movie_logger - INFO - 121,클라우스
2022-03-07 17:03:41,126 - movie_logger - INFO - 122,클라우스
2022-03-07 17:03:41,159 - movie_logger - INFO - 123,클라우스
2022-03-07 17:03:41,193 - movie_logger - INFO - 124,클라우스
2022-03-07 17:03:41,227 - movie_logger - INFO - 125,클라우스
2022-03-07 17:03:41,260 - movie_logger - INFO - 126,클라우스
2022-03-07 17:03:41,292 - movie_logger - INFO - 127,클라우스
2022-03-07 17:03:41,326 - movie_logger - INFO - 128,클라우스
2022-03-07 17:03:41,359 - movie_logger - INFO - 129,클라우스
2022-03-07 17:03:41,390 - movie_logger - INFO - 130,클라우스
2022-03-07 17:03:41,521 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:41,557 - movie_logger - INFO - 131,클라우스
2022-03-07 17:03:41,590 - movie_logger - INFO - 132,클라우스
2022-03-07 17:03:41,624 - movie_logger - INFO - 133,클라우스
2022-03-07 17:03:41,658 - movie_logger - INFO - 134,클라우스
2022-03-07 17:03:41,696 - movie_logger - INFO - 135,클라우스
2022-03-07 17:03:41,729 - movie_logger - INFO - 136,클라우스
2022-03-07 17:03:41,762 - movie_logger - INFO - 137,클라우스
2022-03-07 17:03:41,795 - movie_logger - INFO - 138,클라우스
2022-03-07 17:03:41,827 - movie_logger - INFO - 139,클라우스
2022-03-07 17:03:41,860 - movie_logger - INFO - 140,클라우스
2022-03-07 17:03:41,988 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:42,028 - movie_logger - INFO - 141,클라우스
2022-03-07 17:03:42,060 - movie_logger - INFO - 142,클라우스
2022-03-07 17:03:42,093 - movie_logger - INFO - 143,클라우스
2022-03-07 17:03:42,127 - movie_logger - INFO - 144,클라우스
2022-03-07 17:03:42,159 - movie_logger - INFO - 145,클라우스
2022-03-07 17:03:42,194 - movie_logger - INFO - 146,클라우스
2022-03-07 17:03:42,227 - movie_logger - INFO - 147,클라우스
2022-03-07 17:03:42,262 - movie_logger - INFO - 148,클라우스
2022-03-07 17:03:42,296 - movie_logger - INFO - 149,클라우스
2022-03-07 17:03:42,329 - movie_logger - INFO - 150,클라우스
2022-03-07 17:03:42,457 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:42,496 - movie_logger - INFO - 151,클라우스
2022-03-07 17:03:42,532 - movie_logger - INFO - 152,클라우스
2022-03-07 17:03:42,565 - movie_logger - INFO - 153,클라우스
2022-03-07 17:03:42,597 - movie_logger - INFO - 154,클라우스
2022-03-07 17:03:42,631 - movie_logger - INFO - 155,클라우스
2022-03-07 17:03:42,665 - movie_logger - INFO - 156,클라우스
2022-03-07 17:03:42,699 - movie_logger - INFO - 157,클라우스
2022-03-07 17:03:42,732 - movie_logger - INFO - 158,클라우스
2022-03-07 17:03:42,766 - movie_logger - INFO - 159,클라우스
2022-03-07 17:03:42,799 - movie_logger - INFO - 160,클라우스
2022-03-07 17:03:42,922 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:42,961 - movie_logger - INFO - 161,클라우스
2022-03-07 17:03:42,996 - movie_logger - INFO - 162,클라우스
2022-03-07 17:03:43,033 - movie_logger - INFO - 163,클라우스
2022-03-07 17:03:43,067 - movie_logger - INFO - 164,클라우스
2022-03-07 17:03:43,102 - movie_logger - INFO - 165,클라우스
2022-03-07 17:03:43,137 - movie_logger - INFO - 166,클라우스
2022-03-07 17:03:43,171 - movie_logger - INFO - 167,클라우스
2022-03-07 17:03:43,205 - movie_logger - INFO - 168,클라우스
2022-03-07 17:03:43,240 - movie_logger - INFO - 169,클라우스
2022-03-07 17:03:43,275 - movie_logger - INFO - 170,클라우스
2022-03-07 17:03:43,404 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:43,445 - movie_logger - INFO - 171,클라우스
2022-03-07 17:03:43,480 - movie_logger - INFO - 172,클라우스
2022-03-07 17:03:43,516 - movie_logger - INFO - 173,클라우스
2022-03-07 17:03:43,551 - movie_logger - INFO - 174,클라우스
2022-03-07 17:03:43,587 - movie_logger - INFO - 175,클라우스
2022-03-07 17:03:43,624 - movie_logger - INFO - 176,클라우스
2022-03-07 17:03:43,659 - movie_logger - INFO - 177,클라우스
2022-03-07 17:03:43,695 - movie_logger - INFO - 178,클라우스
2022-03-07 17:03:43,731 - movie_logger - INFO - 179,클라우스
2022-03-07 17:03:43,765 - movie_logger - INFO - 180,클라우스
2022-03-07 17:03:43,891 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:43,932 - movie_logger - INFO - 181,클라우스
2022-03-07 17:03:43,970 - movie_logger - INFO - 182,클라우스
2022-03-07 17:03:44,005 - movie_logger - INFO - 183,클라우스
2022-03-07 17:03:44,042 - movie_logger - INFO - 184,클라우스
2022-03-07 17:03:44,078 - movie_logger - INFO - 185,클라우스
2022-03-07 17:03:44,114 - movie_logger - INFO - 186,클라우스
2022-03-07 17:03:44,149 - movie_logger - INFO - 187,클라우스
2022-03-07 17:03:44,184 - movie_logger - INFO - 188,클라우스
2022-03-07 17:03:44,220 - movie_logger - INFO - 189,클라우스
2022-03-07 17:03:44,258 - movie_logger - INFO - 190,클라우스
2022-03-07 17:03:44,388 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:44,429 - movie_logger - INFO - 191,클라우스
2022-03-07 17:03:44,466 - movie_logger - INFO - 192,클라우스
2022-03-07 17:03:44,501 - movie_logger - INFO - 193,클라우스
2022-03-07 17:03:44,539 - movie_logger - INFO - 194,클라우스
2022-03-07 17:03:44,574 - movie_logger - INFO - 195,클라우스
2022-03-07 17:03:44,611 - movie_logger - INFO - 196,클라우스
2022-03-07 17:03:44,647 - movie_logger - INFO - 197,클라우스
2022-03-07 17:03:44,683 - movie_logger - INFO - 198,클라우스
2022-03-07 17:03:44,718 - movie_logger - INFO - 199,클라우스
2022-03-07 17:03:44,754 - movie_logger - INFO - 200,클라우스
2022-03-07 17:03:44,881 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:44,920 - movie_logger - INFO - 201,클라우스
2022-03-07 17:03:44,957 - movie_logger - INFO - 202,클라우스
2022-03-07 17:03:44,993 - movie_logger - INFO - 203,클라우스
2022-03-07 17:03:45,028 - movie_logger - INFO - 204,클라우스
2022-03-07 17:03:45,065 - movie_logger - INFO - 205,클라우스
2022-03-07 17:03:45,101 - movie_logger - INFO - 206,클라우스
2022-03-07 17:03:45,135 - movie_logger - INFO - 207,클라우스
2022-03-07 17:03:45,172 - movie_logger - INFO - 208,클라우스
2022-03-07 17:03:45,209 - movie_logger - INFO - 209,클라우스
2022-03-07 17:03:45,244 - movie_logger - INFO - 210,클라우스
2022-03-07 17:03:45,372 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:45,416 - movie_logger - INFO - 211,클라우스
2022-03-07 17:03:45,454 - movie_logger - INFO - 212,클라우스
2022-03-07 17:03:45,491 - movie_logger - INFO - 213,클라우스
2022-03-07 17:03:45,527 - movie_logger - INFO - 214,클라우스
2022-03-07 17:03:45,564 - movie_logger - INFO - 215,클라우스
2022-03-07 17:03:45,600 - movie_logger - INFO - 216,클라우스
2022-03-07 17:03:45,637 - movie_logger - INFO - 217,클라우스
2022-03-07 17:03:45,676 - movie_logger - INFO - 218,클라우스
2022-03-07 17:03:45,712 - movie_logger - INFO - 219,클라우스
2022-03-07 17:03:45,749 - movie_logger - INFO - 220,클라우스
2022-03-07 17:03:45,873 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:45,915 - movie_logger - INFO - 221,클라우스
2022-03-07 17:03:45,966 - movie_logger - INFO - 222,클라우스
2022-03-07 17:03:46,078 - movie_logger - INFO - 223,클라우스
2022-03-07 17:03:46,135 - movie_logger - INFO - 224,클라우스
2022-03-07 17:03:46,173 - movie_logger - INFO - 225,클라우스
2022-03-07 17:03:46,210 - movie_logger - INFO - 226,클라우스
2022-03-07 17:03:46,249 - movie_logger - INFO - 227,클라우스
2022-03-07 17:03:46,286 - movie_logger - INFO - 228,클라우스
2022-03-07 17:03:46,323 - movie_logger - INFO - 229,클라우스
2022-03-07 17:03:46,361 - movie_logger - INFO - 230,클라우스
2022-03-07 17:03:46,488 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:46,533 - movie_logger - INFO - 231,클라우스
2022-03-07 17:03:46,570 - movie_logger - INFO - 232,클라우스
2022-03-07 17:03:46,607 - movie_logger - INFO - 233,클라우스
2022-03-07 17:03:46,643 - movie_logger - INFO - 234,클라우스
2022-03-07 17:03:46,681 - movie_logger - INFO - 235,클라우스
2022-03-07 17:03:46,719 - movie_logger - INFO - 236,클라우스
2022-03-07 17:03:46,757 - movie_logger - INFO - 237,클라우스
2022-03-07 17:03:46,795 - movie_logger - INFO - 238,클라우스
2022-03-07 17:03:46,832 - movie_logger - INFO - 239,클라우스
2022-03-07 17:03:46,870 - movie_logger - INFO - 240,클라우스
2022-03-07 17:03:47,003 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:47,052 - movie_logger - INFO - 241,클라우스
2022-03-07 17:03:47,156 - movie_logger - INFO - 242,클라우스
2022-03-07 17:03:47,193 - movie_logger - INFO - 243,클라우스
2022-03-07 17:03:47,228 - movie_logger - INFO - 244,클라우스
2022-03-07 17:03:47,265 - movie_logger - INFO - 245,클라우스
2022-03-07 17:03:47,301 - movie_logger - INFO - 246,클라우스
2022-03-07 17:03:47,337 - movie_logger - INFO - 247,클라우스
2022-03-07 17:03:47,373 - movie_logger - INFO - 248,클라우스
2022-03-07 17:03:47,411 - movie_logger - INFO - 249,클라우스
2022-03-07 17:03:47,446 - movie_logger - INFO - 250,클라우스
2022-03-07 17:03:47,569 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:47,612 - movie_logger - INFO - 251,클라우스
2022-03-07 17:03:47,650 - movie_logger - INFO - 252,클라우스
2022-03-07 17:03:47,689 - movie_logger - INFO - 253,클라우스
2022-03-07 17:03:47,726 - movie_logger - INFO - 254,클라우스
2022-03-07 17:03:47,764 - movie_logger - INFO - 255,클라우스
2022-03-07 17:03:47,800 - movie_logger - INFO - 256,클라우스
